Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
273,2373602,2007,D31,Shooting,1190952000000,25,Glenfield-Jane Heights (25),43.7548561,-79.5170746,73
274,2539175,2007,D31,Stabbing,1191297600000,26,Downsview-Roding-CFB (26),43.7373734,-79.4907761,74
275,2432106,2007,D12,Shooting,1191643200000,111,Rockcliffe-Smythe (111),43.6716728,-79.4937515,75
276,2424127,2007,D13,Shooting,1191816000000,94,Wychwood (94),43.6805267,-79.4312897,76
277,1902459,2007,D31,Shooting,1191902400000,25,Glenfield-Jane Heights (25),43.7501373,-79.5113907,77
278,2421605,2007,D41,Shooting,1192334400000,119,Wexford/Maryvale (119),43.7570267,-79.3101501,78
279,2538165,2007,D33,Other,1192680000000,48,Hillcrest Village (48),43.8090858,-79.3618851,79
280,2371208,2007,D55,Shooting,1192939200000,68,North Riverdale (68),43.6661606,-79.3529129,80
281,2404032,2007,D22,Shooting,1193457600000,14,Islington-City Centre West (14),43.6467743,-79.5305557,81
282,2357094,2007,D41,Other,1188619200000,120,Clairlea-Birchmount (120),43.7079391,-79.2874374,82
283,2345705,2007,D31,Stabbing,1194062400000,25,Glenfield-Jane Heights (25),43.7491493,-79.515686,83
284,2403226,2007,D51,Shooting,1194325200000,73,Moss Park (73),43.6565018,-79.366951,84
285,2528917,2007,D42,Shooting,1195794000000,118,Tam O'Shanter-Sullivan (118),43.783596,-79.2993469,85
286,2507368,2007,D42,Shooting,1195794000000,132,Malvern (132),43.7946625,-79.2349319,86
287,2424731,2007,D54,Stabbing,1195794000000,54,O'Connor-Parkview (54),43.7105293,-79.3089523,87
288,2345729,2007,D31,Shooting,1195966800000,24,Black Creek (24),43.7672119,-79.5147705,88
289,2370103,2007,D43,Shooting,1196226000000,135,Morningside (135),43.784832,-79.1954346,89
290,2101272,2007,D42,Shooting,1196571600000,132,Malvern (132),43.812088,-79.2125473,90
291,2311686,2007,D42,Shooting,1197608400000,131,Rouge (131),43.8179092,-79.2110214,91
292,2428698,2007,D51,Shooting,1198386000000,72,Regent Park (72),43.6583023,-79.3595047,92
293,2446147,2007,D23,Stabbing,1198558800000,2,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972,93
