id,lat,long,occurrencedate,reporteddate,premisetype,offence,MCI,division,neighbourhood
17956,43.6581764,-79.3864136,2019-06-28,2019-06-28,Other,Assault,Assault,D52,Bay Street Corridor (76)
17957,43.7764969,-79.1735611,2019-06-28,2019-06-28,Apartment,Robbery With Weapon,Robbery,D43,West Hill (136)
17958,43.6720848,-79.3229141,2019-06-28,2019-06-28,Outside,Assault,Assault,D55,Greenwood-Coxwell (65)
17959,43.7925987,-79.3258133,2019-06-28,2019-06-28,Apartment,Assault,Assault,D42,L'Amoreaux (117)
17960,43.6561661,-79.3701248,2019-06-28,2019-06-29,Outside,Theft Of Motor Vehicle,Auto Theft,D51,Moss Park (73)
17961,43.7746811,-79.1793289,2019-06-28,2019-07-04,Commercial,Aggravated Assault,Assault,D43,West Hill (136)
17962,43.7248802,-79.4482651,2019-06-28,2019-06-28,Outside,Robbery - Mugging,Robbery,D32,Yorkdale-Glen Park (31)
17963,43.6653748,-79.4434433,2019-06-28,2019-06-28,House,Assault,Assault,D11,Dovercourt-Wallace Emerson-Junction (93)
17964,43.6515198,-79.4510727,2019-06-28,2019-06-28,Outside,Assault Bodily Harm,Assault,D11,High Park-Swansea (87)
17965,43.6743202,-79.3282013,2019-06-28,2019-06-28,Apartment,Assault Peace Officer,Assault,D55,Greenwood-Coxwell (65)
17966,43.7188339,-79.4099274,2019-06-28,2019-06-28,Other,B&E,Break and Enter,D53,Lawrence Park South (103)
17967,43.6435661,-79.576828,2019-06-28,2019-07-07,House,Assault,Assault,D22,Markland Wood (12)
17968,43.768856,-79.4669266,2019-06-28,2019-07-02,Other,Assault,Assault,D32,York University Heights (27)
17969,43.6459885,-79.3791351,2019-06-28,2019-11-01,Other,Assault,Assault,D52,Waterfront Communities-The Island (77)
17970,43.7301292,-79.53405,2019-06-28,2019-06-28,House,Theft From Mail / Bag / Key,Theft Over,D31,Pelmo Park-Humberlea (23)
17971,43.8045349,-79.2955627,2019-06-28,2019-06-28,Commercial,Assault,Assault,D42,Milliken (130)
17972,43.6564369,-79.3840561,2019-06-28,2019-06-28,Commercial,Assault,Assault,D52,Bay Street Corridor (76)
17973,43.603653,-79.4931641,2019-06-28,2019-06-28,Outside,Assault,Assault,D22,Mimico (includes Humber Bay Shores) (17)
17974,43.603653,-79.4931641,2019-06-28,2019-06-28,Outside,Assault With Weapon,Assault,D22,Mimico (includes Humber Bay Shores) (17)
17975,43.7276535,-79.5495377,2019-06-28,2019-06-28,Apartment,Assault,Assault,D23,Elms-Old Rexdale (5)
17976,43.6818123,-79.418396,2019-06-28,2019-06-28,Outside,Assault,Assault,D13,Wychwood (94)
17977,43.7228355,-79.4436188,2019-06-28,2019-06-28,Outside,Assault,Assault,D32,Englemount-Lawrence (32)
17978,43.7390137,-79.5548935,2019-06-28,2019-07-02,House,B&E,Break and Enter,D23,Thistletown-Beaumond Heights (3)
17979,43.6699257,-79.3087463,2019-06-28,2019-06-28,Apartment,Assault,Assault,D55,The Beaches (63)
17980,43.6390228,-79.3924332,2019-06-28,2019-06-28,Apartment,Assault,Assault,D52,Waterfront Communities-The Island (77)
17981,43.7084122,-79.3901978,2019-06-28,2019-06-28,Outside,Assault,Assault,D53,Mount Pleasant West (104)
17982,43.7439499,-79.2155685,2019-06-28,2019-06-28,Outside,Robbery With Weapon,Robbery,D43,Scarborough Village (139)
17983,43.6017227,-79.5097961,2019-06-28,2019-06-28,Outside,Assault,Assault,D22,New Toronto (18)
17984,43.6439705,-79.3887177,2019-06-28,2019-07-04,Commercial,B&E,Break and Enter,D52,Waterfront Communities-The Island (77)
17985,43.7314377,-79.2712097,2019-06-28,2019-06-28,Other,Assault With Weapon,Assault,D41,Ionview (125)
17986,43.653347,-79.3961639,2019-06-28,2019-06-28,Outside,Robbery - Purse Snatch,Robbery,D52,Kensington-Chinatown (78)
17987,43.6606636,-79.3866806,2019-06-28,2019-06-28,Apartment,B&E,Break and Enter,D52,Bay Street Corridor (76)
17988,43.6459885,-79.3791351,2019-06-28,2019-11-01,Other,Assault,Assault,D52,Waterfront Communities-The Island (77)
17989,43.7974548,-79.3309326,2019-06-28,2019-06-28,House,Assault,Assault,D42,L'Amoreaux (117)
17990,43.6582947,-79.3710327,2019-06-28,2019-06-28,Apartment,Robbery With Weapon,Robbery,D51,Moss Park (73)
17991,43.671814,-79.3846359,2019-06-28,2019-07-16,Other,Theft Over,Theft Over,D53,Rosedale-Moore Park (98)
17992,43.7672119,-79.5147705,2019-06-29,2019-07-05,House,Assault,Assault,D31,Black Creek (24)
17993,43.6498146,-79.4003677,2019-06-29,2019-11-06,House,Unlawfully In Dwelling-House,Break and Enter,D14,Kensington-Chinatown (78)
17994,43.7057915,-79.2924576,2019-06-29,2019-07-05,House,Assault,Assault,D41,Clairlea-Birchmount (120)
17995,43.6888924,-79.5040054,2019-06-29,,,Homicide,Homicide,D12,Mount Dennis (115)
17996,43.6888924,-79.5040054,2019-06-29,,,Homicide,Homicide,D12,Mount Dennis (115)
17997,43.7626228,-79.5644226,2019-06-29,2019-07-01,Commercial,B&E,Break and Enter,D31,Humber Summit (21)
17998,43.6610527,-79.3650131,2019-06-29,2019-07-03,Apartment,B&E W'Intent,Break and Enter,D51,Regent Park (72)
17999,43.691227,-79.4703979,2019-06-29,2019-06-29,Apartment,Assault With Weapon,Assault,D12,Beechborough-Greenbrook (112)
18000,43.6430931,-79.3506165,2019-06-29,2019-06-29,Commercial,Assault,Assault,D51,South Riverdale (70)
18001,43.701561,-79.3656006,2019-06-29,2019-06-29,Outside,Assault,Assault,D53,Leaside-Bennington (56)
18002,43.812748,-79.2170029,2019-06-29,2019-06-29,Apartment,Assault With Weapon,Assault,D42,Malvern (132)
18003,43.7247276,-79.3026428,2019-06-29,2019-06-29,Outside,Assault Peace Officer,Assault,D41,Victoria Village (43)
18004,43.7315025,-79.506134,2019-06-29,2019-06-29,House,Assault,Assault,D31,Downsview-Roding-CFB (26)
18005,43.7315025,-79.506134,2019-06-29,2019-06-29,House,Assault With Weapon,Assault,D31,Downsview-Roding-CFB (26)
18006,43.7684288,-79.2688065,2019-06-29,2019-07-02,Other,Theft Of Motor Vehicle,Auto Theft,D41,Bendale (127)
18007,43.7106895,-79.6113205,2019-06-29,2019-06-29,Commercial,Assault,Assault,D23,West Humber-Clairville (1)
18008,43.7106895,-79.6113205,2019-06-29,2019-06-29,Commercial,Assault,Assault,D23,West Humber-Clairville (1)
18009,43.6374741,-79.40522,2019-06-29,2019-06-29,Apartment,Assault,Assault,D14,Niagara (82)
18010,43.691227,-79.4703979,2019-06-29,2019-06-29,Apartment,Assault,Assault,D12,Beechborough-Greenbrook (112)
18011,43.6861954,-79.4208679,2019-06-29,2019-06-29,Apartment,Assault With Weapon,Assault,D13,Humewood-Cedarvale (106)
18012,43.662468,-79.3513565,2019-06-29,2019-06-29,Apartment,Assault,Assault,D55,South Riverdale (70)
18013,43.6854134,-79.4192352,2019-06-29,2019-06-29,Apartment,Assault,Assault,D13,Forest Hill South (101)
18014,43.7694283,-79.3443832,2019-06-29,2019-06-29,Apartment,Assault,Assault,D33,Henry Farm (53)
18015,43.660656,-79.3748474,2019-06-29,2019-06-29,Outside,Assault,Assault,D51,Moss Park (73)
18016,43.6952438,-79.4523315,2019-06-29,2019-06-29,House,Assault,Assault,D13,Caledonia-Fairbank (109)
